"date","year","month","age_group","gender","race","region","unemployment_rate"
"2019-01-01",2019,1,"25-34","Non-binary","White","South",5.28
"2019-01-01",2019,1,"25-34","Non-binary","White","Midwest",5.03
"2019-01-01",2019,1,"25-34","Non-binary","White","West",4.95
"2019-01-01",2019,1,"25-34","Non-binary","Black","Northeast",9.1
"2019-01-01",2019,1,"25-34","Non-binary","Black","South",10.48
"2019-01-01",2019,1,"25-34","Non-binary","Black","Midwest",9.8
"2019-01-01",2019,1,"25-34","Non-binary","Black","West",9.34
"2019-01-01",2019,1,"25-34","Non-binary","Hispanic","Northeast",7.25
"2019-01-01",2019,1,"25-34","Non-binary","Hispanic","South",7.85
"2019-01-01",2019,1,"25-34","Non-binary","Hispanic","Midwest",8.08
"2019-01-01",2019,1,"25-34","Non-binary","Hispanic","West",7.93
"2019-01-01",2019,1,"25-34","Non-binary","Asian","Northeast",4.58
"2019-01-01",2019,1,"25-34","Non-binary","Asian","South",4.96
"2019-01-01",2019,1,"25-34","Non-binary","Asian","Midwest",4.82
"2019-01-01",2019,1,"25-34","Non-binary","Asian","West",4.59
"2019-01-01",2019,1,"25-34","Non-binary","Other","Northeast",5.75
"2019-01-01",2019,1,"25-34","Non-binary","Other","South",7.09
"2019-01-01",2019,1,"25-34","Non-binary","Other","Midwest",7.02
"2019-01-01",2019,1,"25-34","Non-binary","Other","West",6.91
"2019-01-01",2019,1,"35-44","Male","White","Northeast",3.28
"2019-01-01",2019,1,"35-44","Male","White","South",3.87
"2019-01-01",2019,1,"35-44","Male","White","Midwest",3.85
"2019-01-01",2019,1,"35-44","Male","White","West",3.69
"2019-01-01",2019,1,"35-44","Male","Black","Northeast",6.38
"2019-01-01",2019,1,"35-44","Male","Black","South",7.02
"2019-01-01",2019,1,"35-44","Male","Black","Midwest",7.22
"2019-01-01",2019,1,"35-44","Male","Black","West",6.94
"2019-01-01",2019,1,"35-44","Male","Hispanic","Northeast",4.86
"2019-01-01",2019,1,"35-44","Male","Hispanic","South",6.16
"2019-01-01",2019,1,"35-44","Male","Hispanic","Midwest",6.07
"2019-01-01",2019,1,"35-44","Male","Hispanic","West",5.5
"2019-01-01",2019,1,"35-44","Male","Asian","Northeast",3.21
"2019-01-01",2019,1,"35-44","Male","Asian","South",4
"2019-01-01",2019,1,"35-44","Male","Asian","Midwest",3.75
"2019-01-01",2019,1,"35-44","Male","Asian","West",3.32
"2019-01-01",2019,1,"35-44","Male","Other","Northeast",4.77
"2019-01-01",2019,1,"35-44","Male","Other","South",4.76
"2019-01-01",2019,1,"35-44","Male","Other","Midwest",5.18
"2019-01-01",2019,1,"35-44","Male","Other","West",4.8
"2019-01-01",2019,1,"35-44","Female","White","Northeast",3.24
"2019-01-01",2019,1,"35-44","Female","White","South",3.74
"2019-01-01",2019,1,"35-44","Female","White","Midwest",3.93
"2019-01-01",2019,1,"35-44","Female","White","West",4.06
"2019-01-01",2019,1,"35-44","Female","Black","Northeast",6.7
"2019-01-01",2019,1,"35-44","Female","Black","South",7.8
"2019-01-01",2019,1,"35-44","Female","Black","Midwest",6.81
"2019-01-01",2019,1,"35-44","Female","Black","West",7.25
"2019-01-01",2019,1,"35-44","Female","Hispanic","Northeast",5.18
"2019-01-01",2019,1,"35-44","Female","Hispanic","South",5.89
"2019-01-01",2019,1,"35-44","Female","Hispanic","Midwest",6.17
"2019-01-01",2019,1,"35-44","Female","Hispanic","West",5.49
"2019-01-01",2019,1,"35-44","Female","Asian","Northeast",3.51
"2019-01-01",2019,1,"35-44","Female","Asian","South",3.64
"2019-01-01",2019,1,"35-44","Female","Asian","Midwest",3.75
"2019-01-01",2019,1,"35-44","Female","Asian","West",3.68
"2019-01-01",2019,1,"35-44","Female","Other","Northeast",4.36
"2019-01-01",2019,1,"35-44","Female","Other","South",4.93
"2019-01-01",2019,1,"35-44","Female","Other","Midwest",4.8
"2019-01-01",2019,1,"35-44","Female","Other","West",5.09
"2019-01-01",2019,1,"35-44","Non-binary","White","Northeast",4.37
"2019-01-01",2019,1,"35-44","Non-binary","White","South",4.6
"2019-01-01",2019,1,"35-44","Non-binary","White","Midwest",4.45
"2019-01-01",2019,1,"35-44","Non-binary","White","West",3.84
"2019-01-01",2019,1,"35-44","Non-binary","Black","Northeast",7.11
"2019-01-01",2019,1,"35-44","Non-binary","Black","South",7.88
"2019-01-01",2019,1,"35-44","Non-binary","Black","Midwest",7.78
"2019-01-01",2019,1,"35-44","Non-binary","Black","West",7.27
"2019-01-01",2019,1,"35-44","Non-binary","Hispanic","Northeast",5.52
"2019-01-01",2019,1,"35-44","Non-binary","Hispanic","South",6.52
"2019-01-01",2019,1,"35-44","Non-binary","Hispanic","Midwest",6.75
"2019-01-01",2019,1,"35-44","Non-binary","Hispanic","West",6.12
"2019-01-01",2019,1,"35-44","Non-binary","Asian","Northeast",3.45
"2019-01-01",2019,1,"35-44","Non-binary","Asian","South",4.08
"2019-01-01",2019,1,"35-44","Non-binary","Asian","Midwest",3.84
"2019-01-01",2019,1,"35-44","Non-binary","Asian","West",3.36
"2019-01-01",2019,1,"35-44","Non-binary","Other","Northeast",5.44
"2019-01-01",2019,1,"35-44","Non-binary","Other","South",6.01
"2019-01-01",2019,1,"35-44","Non-binary","Other","Midwest",5.95
"2019-01-01",2019,1,"35-44","Non-binary","Other","West",5.65
"2019-01-01",2019,1,"45-54","Male","White","Northeast",4.03
"2019-01-01",2019,1,"45-54","Male","White","South",4.54
"2019-01-01",2019,1,"45-54","Male","White","Midwest",3.81
"2019-01-01",2019,1,"45-54","Male","White","West",3.56
"2019-01-01",2019,1,"45-54","Male","Black","Northeast",6.74
"2019-01-01",2019,1,"45-54","Male","Black","South",7.77
"2019-01-01",2019,1,"45-54","Male","Black","Midwest",7.6
"2019-01-01",2019,1,"45-54","Male","Black","West",7.13
"2019-01-01",2019,1,"45-54","Male","Hispanic","Northeast",5.05
"2019-01-01",2019,1,"45-54","Male","Hispanic","South",6.06
"2019-01-01",2019,1,"45-54","Male","Hispanic","Midwest",5.68
"2019-01-01",2019,1,"45-54","Male","Hispanic","West",5.98
"2019-01-01",2019,1,"45-54","Male","Asian","Northeast",2.88
"2019-01-01",2019,1,"45-54","Male","Asian","South",3.39
"2019-01-01",2019,1,"45-54","Male","Asian","Midwest",3.16
"2019-01-01",2019,1,"45-54","Male","Asian","West",2.97
"2019-01-01",2019,1,"45-54","Male","Other","Northeast",4.72
"2019-01-01",2019,1,"45-54","Male","Other","South",5.05
"2019-01-01",2019,1,"45-54","Male","Other","Midwest",5.43
"2019-01-01",2019,1,"45-54","Male","Other","West",5.17
"2019-01-01",2019,1,"45-54","Female","White","Northeast",4.18
"2019-01-01",2019,1,"45-54","Female","White","South",4.41
"2019-01-01",2019,1,"45-54","Female","White","Midwest",4.54
"2019-01-01",2019,1,"45-54","Female","White","West",3.93
"2019-01-01",2019,1,"45-54","Female","Black","Northeast",6.48
"2019-01-01",2019,1,"45-54","Female","Black","South",7.84
"2019-01-01",2019,1,"45-54","Female","Black","Midwest",8.01
"2019-01-01",2019,1,"45-54","Female","Black","West",7.17
"2019-01-01",2019,1,"45-54","Female","Hispanic","Northeast",5.44
"2019-01-01",2019,1,"45-54","Female","Hispanic","South",6.34
"2019-01-01",2019,1,"45-54","Female","Hispanic","Midwest",6.33
"2019-01-01",2019,1,"45-54","Female","Hispanic","West",6.13
"2019-01-01",2019,1,"45-54","Female","Asian","Northeast",3.25
"2019-01-01",2019,1,"45-54","Female","Asian","South",3.51
"2019-01-01",2019,1,"45-54","Female","Asian","Midwest",3.72
"2019-01-01",2019,1,"45-54","Female","Asian","West",3.93
"2019-01-01",2019,1,"45-54","Female","Other","Northeast",5
"2019-01-01",2019,1,"45-54","Female","Other","South",5.56
"2019-01-01",2019,1,"45-54","Female","Other","Midwest",5.49
"2019-01-01",2019,1,"45-54","Female","Other","West",5.58
"2019-01-01",2019,1,"45-54","Non-binary","White","Northeast",4.14
"2019-01-01",2019,1,"45-54","Non-binary","White","South",4.48
"2019-01-01",2019,1,"45-54","Non-binary","White","Midwest",4.63
"2019-01-01",2019,1,"45-54","Non-binary","White","West",4.83
"2019-01-01",2019,1,"45-54","Non-binary","Black","Northeast",7.29
"2019-01-01",2019,1,"45-54","Non-binary","Black","South",8.97
"2019-01-01",2019,1,"45-54","Non-binary","Black","Midwest",8.07
"2019-01-01",2019,1,"45-54","Non-binary","Black","West",7.55
"2019-01-01",2019,1,"45-54","Non-binary","Hispanic","Northeast",5.78
"2019-01-01",2019,1,"45-54","Non-binary","Hispanic","South",6.96
"2019-01-01",2019,1,"45-54","Non-binary","Hispanic","Midwest",6.73
"2019-01-01",2019,1,"45-54","Non-binary","Hispanic","West",6.21
"2019-01-01",2019,1,"45-54","Non-binary","Asian","Northeast",3.54
"2019-01-01",2019,1,"45-54","Non-binary","Asian","South",3.84
"2019-01-01",2019,1,"45-54","Non-binary","Asian","Midwest",4.63
"2019-01-01",2019,1,"45-54","Non-binary","Asian","West",4.24
"2019-01-01",2019,1,"45-54","Non-binary","Other","Northeast",4.98
"2019-01-01",2019,1,"45-54","Non-binary","Other","South",6.62
"2019-01-01",2019,1,"45-54","Non-binary","Other","Midwest",6.02
"2019-01-01",2019,1,"45-54","Non-binary","Other","West",5.6
"2019-01-01",2019,1,"55-64","Male","White","Northeast",4.13
"2019-01-01",2019,1,"55-64","Male","White","South",5.34
"2019-01-01",2019,1,"55-64","Male","White","Midwest",4.61
"2019-01-01",2019,1,"55-64","Male","White","West",4.51
"2019-01-01",2019,1,"55-64","Male","Black","Northeast",8.26
"2019-01-01",2019,1,"55-64","Male","Black","South",9.49
"2019-01-01",2019,1,"55-64","Male","Black","Midwest",8.73
"2019-01-01",2019,1,"55-64","Male","Black","West",8.29
"2019-01-01",2019,1,"55-64","Male","Hispanic","Northeast",6.84
"2019-01-01",2019,1,"55-64","Male","Hispanic","South",8.36
"2019-01-01",2019,1,"55-64","Male","Hispanic","Midwest",7.39
"2019-01-01",2019,1,"55-64","Male","Hispanic","West",6.89
"2019-01-01",2019,1,"55-64","Male","Asian","Northeast",3.87
"2019-01-01",2019,1,"55-64","Male","Asian","South",4.78
"2019-01-01",2019,1,"55-64","Male","Asian","Midwest",4.06
"2019-01-01",2019,1,"55-64","Male","Asian","West",4.62
"2019-01-01",2019,1,"55-64","Male","Other","Northeast",5.54
"2019-01-01",2019,1,"55-64","Male","Other","South",6.9
"2019-01-01",2019,1,"55-64","Male","Other","Midwest",6.62
"2019-01-01",2019,1,"55-64","Male","Other","West",6.36
"2019-01-01",2019,1,"55-64","Female","White","Northeast",5
"2019-01-01",2019,1,"55-64","Female","White","South",5.17
"2019-01-01",2019,1,"55-64","Female","White","Midwest",5.1
"2019-01-01",2019,1,"55-64","Female","White","West",5.49
"2019-01-01",2019,1,"55-64","Female","Black","Northeast",8.62
"2019-01-01",2019,1,"55-64","Female","Black","South",9.61
"2019-01-01",2019,1,"55-64","Female","Black","Midwest",9.89
"2019-01-01",2019,1,"55-64","Female","Black","West",8.78
"2019-01-01",2019,1,"55-64","Female","Hispanic","Northeast",7.61
"2019-01-01",2019,1,"55-64","Female","Hispanic","South",8.7
"2019-01-01",2019,1,"55-64","Female","Hispanic","Midwest",7.57
"2019-01-01",2019,1,"55-64","Female","Hispanic","West",7.85
"2019-01-01",2019,1,"55-64","Female","Asian","Northeast",4.26
"2019-01-01",2019,1,"55-64","Female","Asian","South",4.63
"2019-01-01",2019,1,"55-64","Female","Asian","Midwest",5.15
"2019-01-01",2019,1,"55-64","Female","Asian","West",4.37
"2019-01-01",2019,1,"55-64","Female","Other","Northeast",6.04
"2019-01-01",2019,1,"55-64","Female","Other","South",7.11
"2019-01-01",2019,1,"55-64","Female","Other","Midwest",6.86
"2019-01-01",2019,1,"55-64","Female","Other","West",6.42
"2019-01-01",2019,1,"55-64","Non-binary","White","Northeast",5.21
"2019-01-01",2019,1,"55-64","Non-binary","White","South",5.62
"2019-01-01",2019,1,"55-64","Non-binary","White","Midwest",5.48
"2019-01-01",2019,1,"55-64","Non-binary","White","West",6
"2019-01-01",2019,1,"55-64","Non-binary","Black","Northeast",9.27
"2019-01-01",2019,1,"55-64","Non-binary","Black","South",10.6
"2019-01-01",2019,1,"55-64","Non-binary","Black","Midwest",10.42
"2019-01-01",2019,1,"55-64","Non-binary","Black","West",9.45
"2019-01-01",2019,1,"55-64","Non-binary","Hispanic","Northeast",7.71
"2019-01-01",2019,1,"55-64","Non-binary","Hispanic","South",8.64
"2019-01-01",2019,1,"55-64","Non-binary","Hispanic","Midwest",9.06
"2019-01-01",2019,1,"55-64","Non-binary","Hispanic","West",8.51
"2019-01-01",2019,1,"55-64","Non-binary","Asian","Northeast",4.53
"2019-01-01",2019,1,"55-64","Non-binary","Asian","South",5.35
"2019-01-01",2019,1,"55-64","Non-binary","Asian","Midwest",5.05
"2019-01-01",2019,1,"55-64","Non-binary","Asian","West",4.56
"2019-01-01",2019,1,"55-64","Non-binary","Other","Northeast",7.07
"2019-01-01",2019,1,"55-64","Non-binary","Other","South",8
"2019-01-01",2019,1,"55-64","Non-binary","Other","Midwest",7.18
"2019-01-01",2019,1,"55-64","Non-binary","Other","West",6.71
"2019-02-01",2019,2,"18-24","Male","White","Northeast",7.58
"2019-02-01",2019,2,"18-24","Male","White","South",8.74
"2019-02-01",2019,2,"18-24","Male","White","Midwest",7.96
"2019-02-01",2019,2,"18-24","Male","White","West",7.83
"2019-02-01",2019,2,"18-24","Male","Black","Northeast",14.06
"2019-02-01",2019,2,"18-24","Male","Black","South",16.27
"2019-02-01",2019,2,"18-24","Male","Black","Midwest",15.01
"2019-02-01",2019,2,"18-24","Male","Black","West",14.06
"2019-02-01",2019,2,"18-24","Male","Hispanic","Northeast",11.22
"2019-02-01",2019,2,"18-24","Male","Hispanic","South",13.01
"2019-02-01",2019,2,"18-24","Male","Hispanic","Midwest",12.21
"2019-02-01",2019,2,"18-24","Male","Hispanic","West",12.48
"2019-02-01",2019,2,"18-24","Male","Asian","Northeast",6.84
"2019-02-01",2019,2,"18-24","Male","Asian","South",7.51
"2019-02-01",2019,2,"18-24","Male","Asian","Midwest",7.27
"2019-02-01",2019,2,"18-24","Male","Asian","West",7.63
"2019-02-01",2019,2,"18-24","Male","Other","Northeast",9.68
"2019-02-01",2019,2,"18-24","Male","Other","South",11.59
"2019-02-01",2019,2,"18-24","Male","Other","Midwest",11.32
"2019-02-01",2019,2,"18-24","Male","Other","West",10.89
"2019-02-01",2019,2,"18-24","Female","White","Northeast",7.91
"2019-02-01",2019,2,"18-24","Female","White","South",9.13
"2019-02-01",2019,2,"18-24","Female","White","Midwest",8.46
"2019-02-01",2019,2,"18-24","Female","White","West",8.18
"2019-02-01",2019,2,"18-24","Female","Black","Northeast",14.43
"2019-02-01",2019,2,"18-24","Female","Black","South",17.07
"2019-02-01",2019,2,"18-24","Female","Black","Midwest",15.73
"2019-02-01",2019,2,"18-24","Female","Black","West",15.46
"2019-02-01",2019,2,"18-24","Female","Hispanic","Northeast",12.19
"2019-02-01",2019,2,"18-24","Female","Hispanic","South",14.11
"2019-02-01",2019,2,"18-24","Female","Hispanic","Midwest",13.65
"2019-02-01",2019,2,"18-24","Female","Hispanic","West",12.1
"2019-02-01",2019,2,"18-24","Female","Asian","Northeast",6.84
"2019-02-01",2019,2,"18-24","Female","Asian","South",8.22
"2019-02-01",2019,2,"18-24","Female","Asian","Midwest",8.11
"2019-02-01",2019,2,"18-24","Female","Asian","West",7.54
"2019-02-01",2019,2,"18-24","Female","Other","Northeast",10.41
"2019-02-01",2019,2,"18-24","Female","Other","South",11.83
"2019-02-01",2019,2,"18-24","Female","Other","Midwest",11.78
"2019-02-01",2019,2,"18-24","Female","Other","West",10.71
"2019-02-01",2019,2,"18-24","Non-binary","White","Northeast",8.65
"2019-02-01",2019,2,"18-24","Non-binary","White","South",9.71
"2019-02-01",2019,2,"18-24","Non-binary","White","Midwest",9.96
"2019-02-01",2019,2,"18-24","Non-binary","White","West",9.06
"2019-02-01",2019,2,"18-24","Non-binary","Black","Northeast",15.27
"2019-02-01",2019,2,"18-24","Non-binary","Black","South",17.76
"2019-02-01",2019,2,"18-24","Non-binary","Black","Midwest",17.84
"2019-02-01",2019,2,"18-24","Non-binary","Black","West",16.43
"2019-02-01",2019,2,"18-24","Non-binary","Hispanic","Northeast",13.42
"2019-02-01",2019,2,"18-24","Non-binary","Hispanic","South",15.59
"2019-02-01",2019,2,"18-24","Non-binary","Hispanic","Midwest",14.43
"2019-02-01",2019,2,"18-24","Non-binary","Hispanic","West",13.88
"2019-02-01",2019,2,"18-24","Non-binary","Asian","Northeast",7.44
"2019-02-01",2019,2,"18-24","Non-binary","Asian","South",8.77
"2019-02-01",2019,2,"18-24","Non-binary","Asian","Midwest",8.93
"2019-02-01",2019,2,"18-24","Non-binary","Asian","West",8.26
"2019-02-01",2019,2,"18-24","Non-binary","Other","Northeast",11.55
"2019-02-01",2019,2,"18-24","Non-binary","Other","South",13.61
"2019-02-01",2019,2,"18-24","Non-binary","Other","Midwest",12.56
"2019-02-01",2019,2,"18-24","Non-binary","Other","West",11.93
"2019-02-01",2019,2,"25-34","Male","White","Northeast",4.24
"2019-02-01",2019,2,"25-34","Male","White","South",4.99
"2019-02-01",2019,2,"25-34","Male","White","Midwest",4.4
"2019-02-01",2019,2,"25-34","Male","White","West",4.88
"2019-02-01",2019,2,"25-34","Male","Black","Northeast",7.67
"2019-02-01",2019,2,"25-34","Male","Black","South",8.79
"2019-02-01",2019,2,"25-34","Male","Black","Midwest",8.43
"2019-02-01",2019,2,"25-34","Male","Black","West",8.35
"2019-02-01",2019,2,"25-34","Male","Hispanic","Northeast",6.16
"2019-02-01",2019,2,"25-34","Male","Hispanic","South",7.05
"2019-02-01",2019,2,"25-34","Male","Hispanic","Midwest",6.52
"2019-02-01",2019,2,"25-34","Male","Hispanic","West",6.42
"2019-02-01",2019,2,"25-34","Male","Asian","Northeast",4.02
"2019-02-01",2019,2,"25-34","Male","Asian","South",3.96
"2019-02-01",2019,2,"25-34","Male","Asian","Midwest",4.37
"2019-02-01",2019,2,"25-34","Male","Asian","West",4.43
"2019-02-01",2019,2,"25-34","Male","Other","Northeast",5.14
"2019-02-01",2019,2,"25-34","Male","Other","South",5.9
"2019-02-01",2019,2,"25-34","Male","Other","Midwest",5.56
"2019-02-01",2019,2,"25-34","Male","Other","West",6.05
"2019-02-01",2019,2,"25-34","Female","White","Northeast",4.47
"2019-02-01",2019,2,"25-34","Female","White","South",5.05
"2019-02-01",2019,2,"25-34","Female","White","Midwest",4.72
"2019-02-01",2019,2,"25-34","Female","White","West",4.4
"2019-02-01",2019,2,"25-34","Female","Black","Northeast",8
"2019-02-01",2019,2,"25-34","Female","Black","South",9.47
"2019-02-01",2019,2,"25-34","Female","Black","Midwest",8.33
"2019-02-01",2019,2,"25-34","Female","Black","West",8.78
"2019-02-01",2019,2,"25-34","Female","Hispanic","Northeast",6.25
"2019-02-01",2019,2,"25-34","Female","Hispanic","South",7.21
"2019-02-01",2019,2,"25-34","Female","Hispanic","Midwest",7.64
"2019-02-01",2019,2,"25-34","Female","Hispanic","West",6.95
"2019-02-01",2019,2,"25-34","Female","Asian","Northeast",4.11
"2019-02-01",2019,2,"25-34","Female","Asian","South",4.3
"2019-02-01",2019,2,"25-34","Female","Asian","Midwest",4.59
"2019-02-01",2019,2,"25-34","Female","Asian","West",4.15
"2019-02-01",2019,2,"25-34","Female","Other","Northeast",6.17
"2019-02-01",2019,2,"25-34","Female","Other","South",7.01
"2019-02-01",2019,2,"25-34","Female","Other","Midwest",6.36
"2019-02-01",2019,2,"25-34","Female","Other","West",5.58
"2019-02-01",2019,2,"25-34","Non-binary","White","Northeast",4.33
"2019-02-01",2019,2,"25-34","Non-binary","White","South",5.58
"2019-02-01",2019,2,"25-34","Non-binary","White","Midwest",5.44
"2019-02-01",2019,2,"25-34","Non-binary","White","West",4.98
"2019-02-01",2019,2,"25-34","Non-binary","Black","Northeast",9.03
"2019-02-01",2019,2,"25-34","Non-binary","Black","South",9.63
"2019-02-01",2019,2,"25-34","Non-binary","Black","Midwest",10.04
"2019-02-01",2019,2,"25-34","Non-binary","Black","West",8.87
"2019-02-01",2019,2,"25-34","Non-binary","Hispanic","Northeast",6.79
"2019-02-01",2019,2,"25-34","Non-binary","Hispanic","South",8.23
"2019-02-01",2019,2,"25-34","Non-binary","Hispanic","Midwest",7.59
"2019-02-01",2019,2,"25-34","Non-binary","Hispanic","West",7.67
"2019-02-01",2019,2,"25-34","Non-binary","Asian","Northeast",4.07
"2019-02-01",2019,2,"25-34","Non-binary","Asian","South",5.23
"2019-02-01",2019,2,"25-34","Non-binary","Asian","Midwest",4.43
"2019-02-01",2019,2,"25-34","Non-binary","Asian","West",4.21
"2019-02-01",2019,2,"25-34","Non-binary","Other","Northeast",6.01
"2019-02-01",2019,2,"25-34","Non-binary","Other","South",7.51
"2019-02-01",2019,2,"25-34","Non-binary","Other","Midwest",6.83
"2019-02-01",2019,2,"25-34","Non-binary","Other","West",6.14
"2019-02-01",2019,2,"35-44","Male","White","Northeast",3.03
